designacao,tipo,idatend,dicofre,morada,codigopostal,localidadepostal,telefone,email,site,latitude,longitude,nodeidet,entidadetutelar,nodeident,entidade
POSTO TERRITORIAL DE VAGOS,Quartel GNR,13066,011814,Praça da República,3840-410,Vagos,234791512,ct.avr.davr.pvgs@gnr.pt,www.gnr.pt,40.554,-8.682,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
DESTACAMENTO TERRITORIAL DE OLIVEIRA DE AZEMEIS,Quartel GNR,13067,011321,Rua Francisco Abreu e Sousa,3720-146,Oliveira de Azeméis,256600740,ct.avr.doaz@gnr.pt,www.gnr.pt,40.849,-8.465,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE AROUCA,Quartel GNR,13068,010421,"Lugar Romariz, Burgo",4540-222,Arouca,256940150,ct.avr.doaz.parc@gnr.pt,www.gnr.pt,40.925,-8.250,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE CASTELO DE PAIVA,Quartel GNR,13069,010611,Zona Industrial de Felgueiras - Sobrado,4550-226,Castelo de Paiva,255690380,ct.avr.doaz.pctp@gnr.pt,www.gnr.pt,41.035,-8.259,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE CESAR,Quartel GNR,13070,011302,Rua Central de Mirões,3700-622,Cesar,256851772,ct.avr.doaz.pcsr@gnr.pt,www.gnr.pt,40.906,-8.435,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE CUCUJÃES,Quartel GNR,13071,011319,Rua Prof. Leão - Santa Luzia,3720-409,Cucujães,256890283,ct.avr.doaz.pccj@gnr.pt,www.gnr.pt,40.874,-8.513,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE OLIVEIRA DE AZEMEIS,Quartel GNR,13072,011321,Rua Francisco Abreu e Sousa,3720-146,Oliveira de Azeméis,256600740,ct.avr.doaz.poaz@gnr.pt,www.gnr.pt,40.849,-8.465,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE VALE DE CAMBRA,Quartel GNR,13073,011906,Lugar de Ramilos,3730-304,Vale de Câmbra,256420760,ct.avr.doaz.pvlc@gnr.pt,www.gnr.pt,40.850,-8.387,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
DESTACAMENTO TERRITORIAL DE OVAR,Quartel GNR,13074,011509,Rua Irmãos Oliveira Lopes,3880-192,Ovar,256572629,ct.avr.dovr@gnr.pt,www.gnr.pt,40.857,-8.619,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE AVANCA,Quartel GNR,13075,010801,"Rua de Santa Luzia, nº 25",3860-036,Avanca,234884235,ct.avr.dovr.pavc@gnr.pt,www.gnr.pt,40.807,-8.589,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE ESMORIZ,Quartel GNR,13076,011503,"Avenida da Praia, n.º 604",3885-403,Esmoriz,256750240,ct.avr.dovr.pesm@gnr.pt,www.gnr.pt,40.955,-8.633,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE ESTARREJA,Quartel GNR,13077,010808,"Rua Drº Pereira de Melo, n.º 138",3860-375,Estarreja,234810690,ct.avr.dovr.petr@gnr.pt,www.gnr.pt,40.757,-8.575,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE MURTOSA,Quartel GNR,13078,011203,Acavada - Pardelhas,3870-101,Murtosa,234865145,ct.avr.dovr.pmrt@gnr.pt,www.gnr.pt,40.749,-8.650,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE OVAR,Quartel GNR,13079,011509,Rua Irmãos Oliveira Lopes,3880-192,Ovar,256572629,ct.avr.dovr.povr@gnr.pt,www.gnr.pt,40.857,-8.619,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO FISCAL DE ARADA,Quartel GNR,13080,011509,Olho Marinho - Arada,3885-100,Arada,256790000,,www.gnr.pt,40.906,-8.613,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
DESTACAMENTO TERRITORIAL DE SANTA MARIA DA FEIRA,Quartel GNR,13081,010935,"Rua Germano da Silva Santos, nº 343",4520-195,Santa Maria da Feira,256377260,ct.avr.dsmf@gnr.pt,www.gnr.pt,40.919,-8.566,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE CANEDO,Quartel GNR,13082,010933,"Rua Principal,n.º 1586 - Mirante",4525-189,Canedo,227650474,ct.avr.dsmf.pcnd@gnr.pt,www.gnr.pt,41.010,-8.459,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE LOUROSA,Quartel GNR,13083,010913,"Rua da GNR, s/nº",4535-036,Lourosa,227471260,ct.avr.dsmf.plrs@gnr.pt,www.gnr.pt,40.979,-8.538,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE SANTA MARIA DA FEIRA,Quartel GNR,13084,010935,"Rua Germano da Silva Santos, nº 343",4520-195,Santa Maria da Feira,256377260,ct.avr.dsmf.psmf@gnr.pt,www.gnr.pt,40.919,-8.566,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE SANTA MARIA DE LAMAS,Quartel GNR,13085,010925,"Avenida Comendador Henrique Amorim, n.º 162",4535-342,Santa Maria de Lamas,227471240,ct.avr.dsmf.psml@gnr.pt,www.gnr.pt,40.979,-8.566,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
DESTACAMENTO DE TRÂNSITO DE AVEIRO,Quartel GNR,13086,010517,Rua do Carmo,3800-128,Aveiro,234403820,ct.avr.tavr@gnr.pt,www.gnr.pt,40.645,-8.646,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
DESTACAMENTO DE TRÂNSITO DE SÃO JOÃO DA MADEIRA,Quartel GNR,13087,011601,"Rua Visconde, nº 8",3700-265,São João da Madeira,256823311,ct.avr.tsjm@gnr.pt,www.gnr.pt,40.886774,-8.485662,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO DE TRÂNSITO DE SANTA MARIA DA FEIRA,Quartel GNR,13088,010935,"Lugar da Ramada, n.º 101",4520-158,Vila da Feira,256373306,ct.avr.tsjm.tsmf@gnr.pt,www.gnr.pt,40.927,-8.566,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
DESTACAMENTO DE INTERVENÇÃO DE AVEIRO,Quartel GNR,13089,010517,"Rua de Sá, s/n",3804-503,Aveiro,234378220,ct.avr.dint@gnr.pt,www.gnr.pt,40.645,-8.646,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
COMANDO TERRITORIAL DE BEJA,Quartel GNR,13090,020520,Rua Marquês de Pombal,7800-067,Beja,284310770,ct.bja@gnr.pt,www.gnr.pt,38.014,-7.859,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
DESTACAMENTO TERRITORIAL DE ALJUSTREL,Quartel GNR,13091,020106,Rua de Santa Bárbara,7600-078,Aljustrel,284600010,ct.bja.dajt@gnr.pt,www.gnr.pt,37.871,-8.164,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE ALJUSTREL,Quartel GNR,13092,020106,Rua de Santa Bárbara,7600-078,Aljustrel,284600010,ct.bja.dajt.pajt@gnr.pt,www.gnr.pt,37.871,-8.164,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE ERVIDEL,Quartel GNR,13093,020102,"Largo da Igreja, n.º 4",7600-205,Ervidel,284645135,ct.bja.dajt.pevd@gnr.pt,www.gnr.pt,37.963,-8.084,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE FERREIRA DO ALENTEJO,Quartel GNR,13094,020803,"Rua General Humberto Delgado, s/nº",7900-264,Figueira dos Cavaleiros,284750050,ct.bja.dajt.pfra@gnr.pt,www.gnr.pt,38.094,-8.205,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DO GARVÃO,Quartel GNR,13095,021207,"Rua de Oliveira, n.º 2",7670-131,Garvão,286555131,ct.bja.dajt.pgrv@gnr.pt,www.gnr.pt,37.708,-8.343,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE OURIQUE,Quartel GNR,13096,021203,"Rua Engº Duarte Pacheco, nº 6",7670-286,Ourique,286510840,ct.bja.dajt.porq@gnr.pt,www.gnr.pt,37.650,-8.225,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
DESTACAMENTO TERRITORIAL DE ALMODÔVAR,Quartel GNR,13097,020209,Rua Quartel da GNR,7700-037,Almodôvar,286660050,ct.bja.dadv@gnr.pt,www.gnr.pt,37.510,-8.061,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE ALMODÔVAR,Quartel GNR,13098,020209,Rua Quartel da GNR,7700-037,Almodôvar,286660050,ct.bja.dadv.padv@gnr.pt,www.gnr.pt,37.510,-8.061,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE CASTRO VERDE,Quartel GNR,13099,020606,"Rua Campo de Ourique, n.º 76",7780-148,Castro Verde,286320080,ct.bja.dadv.pctv@gnr.pt,www.gnr.pt,37.696,-8.086,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE MÉRTOLA,Quartel GNR,13100,020904,Rua Cândido dos Reis,7750-337,Mértola,286612127,ct.bja.dadv.pmrt@gnr.pt,www.gnr.pt,37.640,-7.659,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE MINA DE SÃO DOMINGOS,Quartel GNR,13101,020902,Largo da Alfândega,7750-122,Mina de São Domingos,286647123,ct.bja.dadv.pmsd@gnr.pt,www.gnr.pt,37.675,-7.498,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
DESTACAMENTO TERRITORIAL DE BEJA,Quartel GNR,13102,020520,Rua Marquês de Pombal,7800-067,Beja,284310770,ct.bja.dbja@gnr.pt,www.gnr.pt,38.014,-7.859,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE ALVITO,Quartel GNR,13103,020301,"Rua da Cruz, n.º 22",7920-035,Alvito,284485115,ct.bja.dbja.palv@gnr.pt,www.gnr.pt,38.254,-7.993,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE BALEIZÃO,Quartel GNR,13104,020502,"Rua Francisco Miguel Duarte, n.º 24",7800-611,Baleizão,284924118,ct.bja.dbja.pblz@gnr.pt,www.gnr.pt,38.024,-7.720,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE BEJA,Quartel GNR,13105,020520,Rua Marquês de Pombal,7800-067,Beja,284310770,ct.bja.dbja.pbja@gnr.pt,www.gnr.pt,38.014,-7.859,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE BERINGEL,Quartel GNR,13106,020503,"Rua Dr Angelo Ançã,  n.º 77 e 79",7800-804,Beja,284311670,ct.bja.dbja.pbrg@gnr.pt,www.gnr.pt,38.055,-7.981,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE CUBA,Quartel GNR,13107,020701,"Largo da República, n.º 1",7940-119,Cuba,284415104,ct.bja.dbja.pcub@gnr.pt,www.gnr.pt,38.165,-7.890,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE PEDRÓGÃO,Quartel GNR,13108,021401,"Rua do Posto, n.º 9",7960-047,Pedrogão,284455123,ct.bja.dbja.ppdg@gnr.pt,www.gnr.pt,38.118,-7.648,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE SALVADA,Quartel GNR,13109,020522,Rua Grande,7800-699,Salvada,284947113,ct.bja.dbja.pslv@gnr.pt,www.gnr.pt,37.935,-7.775,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE VIDIGUEIRA,Quartel GNR,13110,021403,"Rua Fialho de Almeida, n.º 29",7960-280,Vidigueira,284436101,ct.bja.dbja.pvdg@gnr.pt,www.gnr.pt,38.210,-7.802,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE VILA ALVA,Quartel GNR,13111,020703,Rua Alferes A. José Abreu Abrantes,7940-378,Vila Alva,284495146,ct.bja.dbja.pvla@gnr.pt,www.gnr.pt,38.249,-7.901,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
DESTACAMENTO TERRITORIAL DE MOURA,Quartel GNR,13112,021009,Largo de São Francisco,7860-007,Moura,285200080,ct.bja.dmra@gnr.pt,www.gnr.pt,38.137,-7.451,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DA AMARELEJA,Quartel GNR,13113,021001,Estrada da Granja,7885-012,Amareleja,285982259,ct.bja.dmra.paja@gnr.pt,www.gnr.pt,38.214,-7.225,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE BARRANCOS,Quartel GNR,13114,020401,"Rua da Igreja, n.º 20",7230-023,Barrancos,285958112,ct.bja.dmra.pbrs@gnr.pt,www.gnr.pt,38.128,-6.975,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE BRINCHES,Quartel GNR,13115,021302,"Largo do Posto, n.º  2",7830-115,Brinches,284805253,ct.bja.dmra.pbcs@gnr.pt,www.gnr.pt,38.036,-7.606,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE MOURA,Quartel GNR,13116,021009,Largo de São Francisco,7860-007,Moura,285200080,ct.bja.dmra.pmra@gnr.pt,www.gnr.pt,38.137,-7.451,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE PIAS,Quartel GNR,13117,021303,"Rua Jogo dos Paus, n.º  32",7830-258,Pias,284858102,ct.bja.dmra.ppas@gnr.pt,www.gnr.pt,38.022,-7.477,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE SAFARA,Quartel GNR,13118,021010,Largo da Achada,7875-064,Safara,285935156,ct.bja.dmra.psfa@gnr.pt,www.gnr.pt,38.103,-7.217,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE SANTO ALEIXO DA RESTAURAÇÃO,Quartel GNR,13119,021010,"Rua do Juncalinho, n.º  5",7875-175,Santo Aleixo da Restauração,285965112,ct.bja.dmra.psar@gnr.pt,www.gnr.pt,38.068,-7.151,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE SERPA,Quartel GNR,13120,021308,Largo Mouzinho de Albuquerque,7830-329,Serpa,284544739,ct.bja.dmra.psrp@gnr.pt,www.gnr.pt,37.940,-7.596,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE SOBRAL DA ADIÇA,Quartel GNR,13121,021008,"Largo das Forças Armadas, n.º  11",7875-351,Sobral da Adiça,285975256,ct.bja.dmra.psba@gnr.pt,www.gnr.pt,38.021,-7.263,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE VILA NOVA DE SÃO BENTO,Quartel GNR,13122,021309,"Rua de Fora,  n.º 39",7830-091,Vila Nova de São Bento,284588107,ct.bja.dmra.pvnb@gnr.pt,www.gnr.pt,37.925,-7.408,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE VILA VERDE DE FICALHO,Quartel GNR,13123,021307,"Rua do Outeiro, n.º  52",7830-654,Vila Verde de Ficalho,284575255,ct.bja.dmra.pvvf@gnr.pt,www.gnr.pt,37.946,-7.306,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
DESTACAMENTO TERRITORIAL DE ODEMIRA,Quartel GNR,13124,021111,Rua António Mantas,7645-221,Vila Nova de Mil Fontes,283990020,ct.bja.dodm@gnr.pt,www.gnr.pt,37.726,-8.780,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE COLOS,Quartel GNR,13125,021118,"Rua Carlos Maia, n.º  10",7630-307,Colos,283691171,ct.bja.dodm.pcls@gnr.pt,www.gnr.pt,37.493,-8.498,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE ODEMIRA,Quartel GNR,13126,021120,"Estrada de Circunvalação,  s/nº",7630-130,Odemira,283322171,ct.bja.dodm.podm@gnr.pt,www.gnr.pt,37.598,-8.644,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE SABÓIA,Quartel GNR,13127,021103,Rua  Quirino  Mealha,7665-836,Sabóia,283882171,ct.bja.dodm.psba@gnr.pt,www.gnr.pt,37.493,-8.498,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE SÃO LUÍS,Quartel GNR,13128,021106,Rua Joaquim Inácio da Silva,7630-468,São Luís,283976171,ct.bja.dodm.psls@gnr.pt,www.gnr.pt,37.715,-8.665,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE SÃO TEOTÓNIO,Quartel GNR,13129,021121,Rua 25 de Abril,7630-611,São Teotónio,283959017,ct.bja.dodm.pstt@gnr.pt,www.gnr.pt,37.508,-8.708,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE VILA NOVA DE MILFONTES,Quartel GNR,13130,021111,Rua António Mantas,7645-221,Vila Nova de Mil Fontes,283990022,ct.bja.dodm.pvnm@gnr.pt,www.gnr.pt,37.726,-8.780,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
DESTACAMENTO DE TRÂNSITO DE BEJA,Quartel GNR,13131,020503,"Rua Dº Angelo Ançã, nº 79",7800-804,Beringel,284311670,ct.bja.tbja@gnr.pt,www.gnr.pt,38.055,-7.981,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO DE TRÂNSITO DE OURIQUE,Quartel GNR,13132,020210,Sítio do Monte do Serro Caixa Postal 288,7700-222,Gomes Aires,286009951,ct.bja.tbja.torq@gnr.pt,www.gnr.pt,37.521,-8.175,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
DESTACAMENTO DE INTERVENÇÃO DE BEJA,Quartel GNR,13133,020520,Rua Marquês de Pombal,7800-067,Beja,284310770,ct.bja.dint@gnr.pt,www.gnr.pt,38.014,-7.859,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
COMANDO TERRITORIAL DE BRAGA,Quartel GNR,13134,030351,"Rua do Taxa, S. Victor",4710-448,Braga,253203030,ct.brg@gnr.pt,www.gnr.pt,41.556,-8.412,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
DESTACAMENTO TERRITORIAL DE BARCELOS,Quartel GNR,13135,030213,"Rua Brito Limpo,n.º  17, Barcelinhos",4755-056,Barcelos,253830180,ct.brg.dbcl@gnr.pt,www.gnr.pt,41.524,-8.621,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE BARCELOS,Quartel GNR,13136,030213,"Rua Brito Limpo,n.º  17, Barcelinhos",4755-056,Barcelos,253830180,ct.brg.dbcl.pbcl,www.gnr.pt,41.524,-8.621,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE ESPOSENDE,Quartel GNR,13137,030618,Travessa Vasco da Gama,4740-302,Esposende,253989110,ct.brg.dbcl.pesp@gnr.pt,www.gnr.pt,41.539,-8.780,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE JOANE,Quartel GNR,13138,031219,Rua de Laborins nº 246,4770-219,Joane – V.N.Famalicão,252920230,ct.brg.dvnf.pjoa@gnr.pt,www.gnr.pt,41.442,-8.426,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE RIBA DE AVE,Quartel GNR,13139,031234,"Travessa Camilo Castelo Branco, Loja 3",4765-265,Riba de Ave,252982385,ct.brg.dvnf.prda@gnr.pt,www.gnr.pt,41.390,-8.387,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE VILA NOVA FAMALICÃO,Quartel GNR,13140,031260,Rua Vieira da Silva,4760-170,Vila Nova de Famalicão,252501360,ct.brg.dvnf.pvfn@gnr.pt,www.gnr.pt,41.414,-8.521,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
DESTACAMENTO TERRITORIAL DE BRAGA,Quartel GNR,13141,030351,"Rua do Taxa, S. Victor",4710-448,Braga,253689820,ct.brg.dbrg@gnr.pt,www.gnr.pt,41.556,-8.412,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE BRAGA,Quartel GNR,13142,030351,"Rua do Taxa, S. Victor",4710-448,Braga,253609430,ct.brg.dbrg.pbrg@gnr.pt,www.gnr.pt,41.556,-8.412,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DO PRADO,Quartel GNR,13143,031370,"Av.ª Cavado, Prado",4730,Vila Verde,253929120,ct.brg.dbrg.pprd@gnr.pt,www.gnr.pt,41.599,-8.459,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE RUÍLHE,Quartel GNR,13144,030338,Bairro Social Stª Luzia,4705-581,Ruílhe,253951315,ct.brg.dbrg.pprd@gnr.pt,www.gnr.pt,41.497,-8.498,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE SAMEIRO,Quartel GNR,13145,030312,"Sameiro, Espinho",4715-390,Braga,253675284,ct.brg.dbrg.psmr@gnr.pt,www.gnr.pt,41.542,-8.368,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE VILA VERDE,Quartel GNR,13146,031370,"Rua dos Bombeiros, nº 59",4730-752,Vila Verde,253320100,ct.brg.dbrg.pvlv@gnr.pt,www.gnr.pt,41.650,-8.438,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO FISCAL DE BRAGA,Quartel GNR,13147,030351,"Rua do Taxa, S. Victor",4710-448,Braga,253203030,,www.gnr.pt,41.556,-8.412,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
DESTACAMENTO TERRITORIAL DE GUIMARÃES,Quartel GNR,13148,030868,"Quinta do Pinho, nº 80, São Torcato",,Guimarães,253422570,ct.brg.dgmr@gnr.pt,www.gnr.pt,41.471,-8.263,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
