designacao,tipo,idatend,dicofre,morada,codigopostal,localidadepostal,horario,telefone,email,site,latitude,longitude,nodeidet,entidadetutelar,nodeident,entidade
CENTRO DE INATIVAÇÃO DE EXPLOSIVOS E SEGURANÇA EM SUBSOLO,Unidade Especial,895,111126,Quinta das Águas Livres - Belas,2605-197,BELAS,Sem Horário de Atendimento,219802020,ciexss@psp.pt,http://www.psp.pt,38.783420,-9.246250,237,Ministério da Administração Interna,2528,PSP
GRUPO OPERACIONAL CINOTÉCNICO,Unidade Especial,896,111126,Quinta das Águas Livres - Belas,2605-197,BELAS,Sem Horário de Atendimento,219802020,0,http://www.psp.pt,38.783420,-9.246250,237,Ministério da Administração Interna,2528,PSP
AVEIRO - Comando Distrital,Comando,897,010517,Praça Marquês de Pombal,3810-133,AVEIRO,Dias úteis: 9h00-12h30 / 14h00-16h00,234400290 - 962000437 - 962000474,cpaveiro@psp.pt,http://www.psp.pt,40.638292,-8.654314,237,Ministério da Administração Interna,2528,PSP
AVEIRO - Divisão Policial,Divisão de Policia,898,010513,"Rua da Prata, s/n - Santa Joana",3810-314,AVEIRO,Dias úteis: 9h00-12h30 / 14h00-16h00,234302510 - 234302511 - 962000437 - 962000474,div.aveiro@psp.pt,http://www.psp.pt,40.638027,-8.616634,237,Ministério da Administração Interna,2528,PSP
AVEIRO - Esquadra de Trânsito,Esquadra de Trânsito,899,010513,"Rua da Prata, s/n - Santa Joana",3810-314,AVEIRO,Dias úteis: 9h00-12h30 / 14h00-16h00,234302510 - 234302511 - 962000437 - 962000474,esqtr.aveiro@psp.pt,http://www.psp.pt,40.638027,-8.616634,237,Ministério da Administração Interna,2528,PSP
AVEIRO - Esquadra de Investigação Criminal,Esquadra de Investigação Criminal,900,010513,"Rua da Prata, s/n - Santa Joana",3810-314,AVEIRO,Dias úteis: 9h00-12h30 / 14h00-16h00,234302510 - 234302511 - 962000437 - 962000474,eic.aveiro@psp.pt,http://www.psp.pt,40.638027,-8.616634,237,Ministério da Administração Interna,2528,PSP
AVEIRO - Esquadra de Intervenção e Fiscalização Policial,Esquadra de Intervenção e Fiscalização Policial,901,010513,"Rua da Prata, s/n - Santa Joana",3810-314,AVEIRO,Dias úteis: 9h00-12h30 / 14h00-16h00,234302510 - 234302511 - 962000437 - 962000474,eifp.aveiro@psp.pt,http://www.psp.pt,40.638027,-8.616634,237,Ministério da Administração Interna,2528,PSP
AVEIRO - Esquadra - MARQUÊS,Esquadra de Polícia,902,010517,"Praça Marquês de Pombal, s/n - Edificio Governo Civil",3810-076,AVEIRO,Dias úteis: 9h00-12h30 / 14h00-16h00,234302510,esquadrasede.aveiro@psp.pt,http://www.psp.pt,40.638292,-8.654314,237,Ministério da Administração Interna,2528,PSP
AVEIRO - Esquadra - GRINÉ,Esquadra de Polícia,903,010513,"Rua da Prata, s/n - Santa Joana",3810-314,AVEIRO,Dias úteis: 9h00-12h30 / 14h00-16h00 - Atendimento Policial Permanente,234302510 - 234302511 - 962000437 - 962000474,esquadrasede.aveiro@psp.pt,http://www.psp.pt,40.638027,-8.616634,237,Ministério da Administração Interna,2528,PSP
ESPINHO - Divisão Policial,Divisão de Policia,904,010702,"Rua 23, s/n",4504-853,ESPINHO,Dias úteis: 9h00-12h30 / 14h00-16h00,227330420 - 227330421,espinho.aveiro@psp.pt,http://www.psp.pt,41.007106,-8.635544,237,Ministério da Administração Interna,2528,PSP
ESPINHO - Esquadra de Trânsito,Esquadra de Trânsito,905,010702,"Rua 23, s/n",4504-853,ESPINHO,Dias úteis: 9h00-12h30 / 14h00-16h00,227330420 - 227330421,esqtr.espinho.aveiro@psp.pt,http://www.psp.pt,41.007106,-8.635544,237,Ministério da Administração Interna,2528,PSP
ESPINHO - Esquadra de Investigação Criminal,Esquadra de Investigação Criminal,906,010702,"Rua 23, s/n",4504-853,ESPINHO,Dias úteis: 9h00-12h30 / 14h00-16h00,227330420 - 227330421,eic.espinho.aveiro@psp.pt,http://www.psp.pt,41.007106,-8.635544,237,Ministério da Administração Interna,2528,PSP
ESPINHO - Esquadra de Intervenção e Fiscalização Policial,Esquadra de Intervenção e Fiscalização Policial,907,010702,"Rua 23, s/n",4504-853,ESPINHO,Dias úteis: 9h00-12h30 / 14h00-16h00,227330420 - 227330421,avreifpesp@rnsi.local,http://www.psp.pt,41.007106,-8.635544,237,Ministério da Administração Interna,2528,PSP
ESPINHO - Esquadra,Esquadra de Polícia,908,010702,"Rua 23, s/n",4501-853,ESPINHO,Dias úteis: 9h00-12h30 / 14h00-16h00 - Atendimento Policial Permanente,227330420 - 227330421,avresqesp@rnsi.local,http://www.psp.pt,41.007106,-8.635544,237,Ministério da Administração Interna,2528,PSP
OVAR - Esquadra,Esquadra de Polícia,909,011509,"Rua Dr. José Falcão, Nº 11",3880-205,OVAR,Dias úteis: 9h00-12h30 / 14h00-16h00 - Atendimento Policial Permanente,256580890,ovar.aveiro@psp.pt,http://www.psp.pt,40.861623,-8.625780,237,Ministério da Administração Interna,2528,PSP
SÃO JOÃO DA MADEIRA - Esquadra,Esquadra de Polícia,910,011601,"Rua Alão de Morais, Nº 183",3700-021,SÃO JOÃO DA MADEIRA,Dias úteis: 9h00-12h30 / 14h00-16h00 - Atendimento Policial Permanente,256815000,sjmadeira.aveiro@psp.pt,http://www.psp.pt,40.902153,-8.491842,237,Ministério da Administração Interna,2528,PSP
SANTA MARIA DA FEIRA - Esquadra,Esquadra de Polícia,911,010935,"Rua Dr. Paulo de Sá, Nº 2",4520-219,SANTA MARIA DA FEIRA,Dias úteis: 9h00-12h30 / 14h00-16h00 - Atendimento Policial Permanente,256300030,smfeira.aveiro@psp.pt,http://www.psp.pt,40.916092,-8.569321,237,Ministério da Administração Interna,2528,PSP
BEJA - Comando Distrital,Comando,912,020520,Rua Dom Nuno Álvares Pereira - Edificio do Governo Civil,7800-054,BEJA,Dias úteis: 9h00-12h30 / 14h00-16h00,284322022 - 284313150 - 961042122,cpbeja@psp.pt,http://www.psp.pt,38.013651,-7.859698,237,Ministério da Administração Interna,2528,PSP
BEJA - Esquadra de Trânsito,Esquadra de Trânsito,913,020520,Rua D. Nuno Álvares Pereira - Edifício do Governo Civil,7800-054,BEJA,Dias úteis: 9h00-12h30 / 14h00-16h00,284322022 - 284313150 - 961042122,etr.beja@psp.pt,http://www.psp.pt,38.013651,-7.859698,237,Ministério da Administração Interna,2528,PSP
BEJA - Esquadra de Investigação Criminal,Esquadra de Investigação Criminal,914,020521,"Rua da Moeda, Nº 24 A",7800-464,Beja,Sem Horário de Atendimento,284322022 - 284313150 - 961042122,eic.beja@psp.pt,http://www.psp.pt,"38,014225",-7.865527,237,Ministério da Administração Interna,2528,PSP
BEJA - Esquadra de Intervenção e Fiscalização Policial,Esquadra de Intervenção e Fiscalização Policial,915,020521,Largo Dom Nuno Álvares Pereira,7800-018,BEJA,Sem Horário de Atendimento,284322022 - 284313150 - 961042122,eifp.beja@psp.pt,http://www.psp.pt,38.013651,-7.859698,237,Ministério da Administração Interna,2528,PSP
BEJA - Esquadra,Esquadra de Polícia,916,020521,Largo Dom Nuno Álvares Pereira,7800-018,BEJA,Atendimento Policial Permanente,284322022 - 284313150 - 961042122,esquadrasede.beja@psp.pt,http://www.psp.pt,38.013051,-7.860852,237,Ministério da Administração Interna,2528,PSP
MOURA - Esquadra,Esquadra de Polícia,917,021009,"Rua Capitão Martim Carrasco, s/n",7860-017,MOURA,Atendimento Policial Permanente,285251203 - 961042122,moura.beja@psp.pt,http://www.psp.pt,38.139316,-7.451675,237,Ministério da Administração Interna,2528,PSP
BRAGA - Comando Distrital,Comando,918,030364,"Campo de São Tiago, n.º 6",4704-504,BRAGA,Dias úteis: 9h00-12h30 / 14h00-16h00,253200420 - 253206480 - 253613252/3 - 962000404 - 962000416,cpbraga@psp.pt,http://www.psp.pt,41.548050,-8.425199,237,Ministério da Administração Interna,2528,PSP
BRAGA - Esquadra de Trânsito,Esquadra de Trânsito,919,030364,"Campo de São Tiago, n.º 6",4704-504,BRAGA,Dias úteis: 9h00-12h30 / 14h00-16h00 - Atendimento Policial Permanente,253613253,brgesqtr@psp.pt,http://www.psp.pt,41.548030,-8.424266,237,Ministério da Administração Interna,2528,PSP
BRAGA - Esquadra de Investigação Criminal,Esquadra de Investigação Criminal,920,030364,"Campo de São Tiago, n.º 6",4704-504,BRAGA,Dias úteis: 9h00-12h30 / 14h00-16h00,253206480,brgeic@psp.pt,http://www.psp.pt,41.548078,-8.424985,237,Ministério da Administração Interna,2528,PSP
BRAGA - Esquadra de Intervenção e Fiscalização Policial,Esquadra de Intervenção e Fiscalização Policial,921,030364,"Largo de São Tiago, nº 6",4704-504,BRAGA,Dias úteis: 9h00-12h30 / 14h00-16h00,253200420,eifp.braga@psp.pt,http://www.psp.pt,41.547713,-8.425065,237,Ministério da Administração Interna,2528,PSP
BRAGA - Divisão Policial,Divisão de Policia,922,030364,"Largo de São Tiago, n.º 6",4704-504,BRAGA,Dias úteis: 9h00-12h30 / 14h00-16h00,253200420,divbrg.braga@psp.pt,http://www.psp.pt,41.548078,-8.424985,237,Ministério da Administração Interna,2528,PSP
BRAGA - 1ª Esquadra,Esquadra de Polícia,923,030364,"Largo de São Tiago, n.º 6",4704-504,BRAGA,Dias úteis: 9h00-12h30 / 14h00-16h00 - Atendimento Policial Permanente,253613253,brg1esq@psp.pt,http://www.psp.pt,41.548078,-8.424985,237,Ministério da Administração Interna,2528,PSP
BRAGA - 2ª Esquadra - SOUTO MAIOR,Esquadra de Polícia,924,030351,"Praça da Justiça, n.º 190",4715-125,BRAGA,Dias úteis: 9h00-12h30 / 14h00-16h00 - Atendimento Policial Permanente,253613252,brg2esq@psp.pt,http://www.psp.pt,41.548118,-8.411579,237,Ministério da Administração Interna,2528,PSP
GUIMARÃES - Divisão Policial,Divisão de Policia,925,030884,"Alameda Drº. Alfredo Pimenta, s/n - São Paio",4814-523,GUIMARÃES,Sem Horário de Atendimento,253540660 - 962000445,guimaraes.braga@psp.pt,http://www.psp.pt,41.448149,-8.299549,237,Ministério da Administração Interna,2528,PSP
GUIMARÃES - Esquadra de Trânsito,Esquadra de Trânsito,926,030884,"Alameda Drº. Alfredo Pimenta, s/n - São Paio",4814-523,GUIMARÃES,Sem Horário de Atendimento,253540669,brgetrgmr@rnsi.local,http://www.psp.pt,41.448149,-8.299549,237,Ministério da Administração Interna,2528,PSP
GUIMARÃES - Esquadra de Investigação Criminal,Esquadra de Investigação Criminal,927,030884,"Alameda Drº. Alfredo Pimenta, s/n - São Paio",4814-523,GUIMARÃES,Sem Horário de Atendimento,253540676,brgeicgmr@rnsi.local,http://www.psp.pt,41.448149,-8.299549,237,Ministério da Administração Interna,2528,PSP
GUIMARÃES - Esquadra de Intervenção e Fiscalização Policial,Esquadra de Intervenção e Fiscalização Policial,928,030884,"Alameda Drº. Alfredo Pimenta, s/n - São Paio",4814-523,GUIMARÃES,Sem Horário de Atendimento,253540660,eifpguim.braga@psp.pt,http://www.psp.pt,41.448149,-8.299549,237,Ministério da Administração Interna,2528,PSP
GUIMARÃES - Esquadra,Esquadra de Polícia,929,030884,"Alameda Drº. Alfredo Pimenta, s/n - São Paio",4814-523,GUIMARÃES,Sem Horário de Atendimento,253540660 - 962000445,brgesqgmr@rnsi.local,http://www.psp.pt,41.448149,-8.299549,237,Ministério da Administração Interna,2528,PSP
BARCELOS - Esquadra,Esquadra de Polícia,930,030293,"Avenida Sidónio Pais, nº 537",4750-333,BARCELOS,Dias úteis: 9h00-12h30 / 14h00-16h00 - Atendimento Policial Permanente,253802570,brgesqbar@psp.pt,http://www.psp.pt,41.531351,-8.617449,237,Ministério da Administração Interna,2528,PSP
VILA NOVA DE FAMALICÃO - Esquadra,Esquadra de Polícia,931,031260,Rua António Sérgio s/n,4760-298,VILA NOVA DE FAMALICÃO,Dias úteis: 9h00-12h30 / 14h00-16h00 - Atendimento Policial Permanente,252373375 - 252320120,brgesqvnf@psp.pt,http://www.psp.pt,41.405660,-8.527113,237,Ministério da Administração Interna,2528,PSP
BRAGANÇA - Comando Distrital,Comando,932,040257,"Rua Dr. Manuel Bento, n.º 4",5301-868,BRAGANÇA,Sem Horário de Atendimento,273303400 - 96963497596 - 963495773,cpbraganca@psp.pt,http://www.psp.pt,41.807927,-6.765416,237,Ministério da Administração Interna,2528,PSP
BRAGANÇA - Esquadra de Trânsito,Esquadra de Trânsito,933,040257,"Rua Dr. Manuel Bento, Nº 4",5301-868,BRAGANÇA,Dias úteis: 9h00-12h30 / 14h00-16h00,273303413 - 96963497596 - 963495773,bgcesqtr@rnsi.local,http://www.psp.pt,41.807927,-6.765416,237,Ministério da Administração Interna,2528,PSP
BRAGANÇA - Esquadra de Investigação Criminal,Esquadra de Investigação Criminal,934,040257,"Rua Dr. Manuel Bento, Nº 4",5301-868,BRAGANÇA,Dias úteis: 9h00-12h30 / 14h00-16h00,273303426 - 96963497596 - 963495773,eic.braganca@psp.pt,http://www.psp.pt,41.807927,-6.765416,237,Ministério da Administração Interna,2528,PSP
BRAGANÇA - Esquadra de Intervenção e Fiscalização,Esquadra de Intervenção e Fiscalização Policial,935,040257,"Rua Dr. Manuel Bento, Nº 4",5301-868,BRAGANÇA,Sem Horário de Atendimento,273303400 - 96963497596 - 963495773,eifp.braganca@psp.pt,http://www.psp.pt,41.807927,-6.765416,237,Ministério da Administração Interna,2528,PSP
BRAGANÇA - Esquadra,Esquadra de Polícia,936,040257,"Rua Dr. Manuel Bento, Nº 4",5301-868,BRAGANÇA,Dias úteis: 9h00-12h30 / 14h00-16h00 - Atendimento Policial Permanente,273303412 - 96963497596 - 963495773,bgcesqsede@psp.pt,http://www.psp.pt,41.807927,-6.765416,237,Ministério da Administração Interna,2528,PSP
MIRANDELA - Esquadra,Esquadra de Polícia,937,040721,"Avenida 25 de Abril, nº 660",5370-202,MIRANDELA,Dias úteis: 9h00-12h30 / 14h00-16h00 - Atendimento Policial Permanente,278260000,mirandela.braganca@psp.pt,http://www.psp.pt,41.285200,-7.103770,237,Ministério da Administração Interna,2528,PSP
QUINTANILHA - Centro de coordenação Policial e Aduaneira,Varios,938,040232,"Ponte Internacional de Quintanilha
Estrada Nacional 218-1",5300-775,QUINTANILHA,Sem Horário de Atendimento,273938023/24,ccpa.quintanilha@psp.pt,http://www.psp.pt,41.737564,-6.55725,237,Ministério da Administração Interna,2528,PSP
CASTELO BRANCO - Comando Distrital,Comando,939,050205,"Estrada Nacional 18
Cruz do Montalvão, nº 2",6000-050,CASTELO BRANCO,Dias úteis: 9h00-12h30 / 14h00-16h00,272340622 - 963497405 - 963495835,cpcbranco@psp.pt,http://www.psp.pt,39.8120679,-7.5070178,237,Ministério da Administração Interna,2528,PSP
CASTELO BRANCO - Esquadra de Trânsito,Esquadra de Trânsito,940,050205,"Estrada Nacional 18
Cruz do Montalvão, nº 2",6000-050,CASTELO BRANCO,Dias úteis: 9h00-12h30 / 14h00-16h00 - Atendimento Policial Permanente,272340622,ctbesqtr@rnsi.local,http://www.psp.pt,39.8120679,-7.5070178,237,Ministério da Administração Interna,2528,PSP
CASTELO BRANCO - Esquadra de Investigação Criminal,Esquadra de Investigação Criminal,941,050205,"Estrada Nacional 18
Cruz do Montalvão, nº 2",6000-050,CASTELO BRANCO,Dias úteis: 9h00-12h30 / 14h00-16h00,272340622,ctbeic@rnsi.local,http://www.psp.pt,39.8120679,-7.5070178,237,Ministério da Administração Interna,2528,PSP
CASTELO BRANCO - Esquadra de Intervenção e Fiscalização,Esquadra de Intervenção e Fiscalização Policial,942,050205,"Estrada Nacional 18
Cruz do Montalvão, nº 2",6000-050,CASTELO BRANCO,Dias úteis: 9h00-12h30 / 14h00-16h00,272340622 - 272340668,eifp.cbranco@rnsi.local,http://www.psp.pt,39.8120679,-7.5070178,237,Ministério da Administração Interna,2528,PSP
CASTELO BRANCO - Esquadra,Esquadra de Polícia,943,050205,"Estrada Nacional 18
Cruz do Montalvão, nº 2",6000-050,CASTELO BRANCO,Dias úteis: 9h00-12h30 / 14h00-16h00 - Atendimento Policial Permanente,272340622,ctbesqsede@rnsi.local,http://www.psp.pt,39.8120679,-7.5070178,237,Ministério da Administração Interna,2528,PSP
COVILHÃ - Divisão Policial,Divisão de Policia,944,050335,"Rua da Misericórdia, s/n",6201-013,COVILHÃ,Dias úteis: 9h00-12h30 / 14h00-16h00,275320920,covilha.castelobranco@psp.pt,http://www.psp.pt,40.2746349,-7.4991268,237,Ministério da Administração Interna,2528,PSP
COVILHÃ - Esquadra de Trânsito,Esquadra de Trânsito,945,050335,"Rua da Misericórdia, s/n",6201-013,COVILHÃ,Dias úteis: 9h00-12h30 / 14h00-16h00,275320920,ctbesqtrcvl@rnsi.local,http://www.psp.pt,40.2746349,-7.4991268,237,Ministério da Administração Interna,2528,PSP
COVILHÃ - Esquadra de Investigação Criminal,Esquadra de Investigação Criminal,946,050335,"Rua da Misericórdia, s/n",6201-013,COVILHÃ,Dias úteis: 9h00-12h30 / 14h00-16h00,275320920,ctbeiccvl@rnsi.local,http://www.psp.pt,40.2746349,-7.4991268,237,Ministério da Administração Interna,2528,PSP
COVILHÃ - Esquadra de Intervenção e Fiscalização,Esquadra de Intervenção e Fiscalização Policial,947,050335,"Rua da Misericórdia, s/n",6201-013,COVILHÃ,Dias úteis: 9h00-12h30 / 14h00-16h00,275320920,eifp.cvl@rnsi.local,http://www.psp.pt,40.2746349,-7.4991268,237,Ministério da Administração Interna,2528,PSP
COVILHÃ - Esquadra,Esquadra de Polícia,948,050335,"Rua da Misericórdia, s/n",6201-013,COVILHÃ,Atendimento Policial Permanente,275320920,ctbesqcvl@rnsi.local,http://www.psp.pt,40.2746349,-7.4991268,237,Ministério da Administração Interna,2528,PSP
COIMBRA - Comando Distrital,Comando,949,060318,"Avenida Elísio de Moura, n.º 155",3034-001,COIMBRA,Sem Horário de Atendimento,239797640,cpcoimbra@psp.pt,http://www.psp.pt,40.207967,-8.400335,237,Ministério da Administração Interna,2528,PSP
COIMBRA - Esquadra de Trânsito,Esquadra de Trânsito,950,060318,"Rua D. Ernesto Sena de Oliveira, s/n",3034-378,COIMBRA,Dias úteis: 9h00-12h30 / 14h00-16h00,239797640,cpcoimbra@psp.pt,http://www.psp.pt,40.207967,-8.400335,237,Ministério da Administração Interna,2528,PSP
COIMBRA - Esquadra de Investigação Criminal,Esquadra de Investigação Criminal,951,060318,"Av. Elísio de Moura, nº 155",3034-001,COIMBRA,Dias úteis: 9h00-12h30 / 14h00-16h00,239797640,cpcoimbra@psp.pt,http://www.psp.pt,40.207967,-8.400335,237,Ministério da Administração Interna,2528,PSP
COIMBRA - Esquadra de Intervenção e Fiscalização Policial,Esquadra de Intervenção e Fiscalização Policial,952,060318,"Av. Elísio de Moura, nº 156",3034 001,COIMBRA,Dias úteis: 9h00-12h30 / 14h00-16h00,239797640,cpcoimbra@psp.pt,http://www.psp.pt,40.207967,-8.400335,237,Ministério da Administração Interna,2528,PSP
COIMBRA - Divisão Policial,Divisão de Policia,953,060318,"Avenida Elísio de Moura, nº 155",3034-001,COIMBRA,Dias úteis: 9h00-12h30 / 14h00-16h00,239797640,cpcoimbra@psp.pt,http://www.psp.pt,40.207967,-8.400335,237,Ministério da Administração Interna,2528,PSP
COIMBRA - 1ª Esquadra,Esquadra de Polícia,954,060318,"Avenida Elísio de Moura, n.º 155",3034-001,COIMBRA,Dias úteis: 9h00-12h30 / 14h00-16h00 - Atendimento Policial Permanente,239797640,cpcoimbra@psp.pt,http://www.psp.pt,40.207967,-8.400335,237,Ministério da Administração Interna,2528,PSP
COIMBRA - 2ª Esquadra,Esquadra de Polícia,955,060334,"Rua Olímpio Nicolau Rui Fernandes, s/n",3000-303,COIMBRA,Dias úteis: 9h00-12h30 / 14h00-16h00 - Atendimento Policial Permanente,239797640,cpcoimbra@psp.pt,http://www.psp.pt,40.211752,-8.428702,237,Ministério da Administração Interna,2528,PSP
FIGUEIRA DA FOZ - Divisão Policial,Divisão de Policia,956,060520,"Rua de Mortágua, s/n",3080-892,FIGUEIRA DA FOZ,Sem Horário de Atendimento,233407560,figueiradafoz.coimbra@psp.pt,http://www.psp.pt,40.155392,-8.857706,237,Ministério da Administração Interna,2528,PSP
FIGUEIRA DA FOZ - Esquadra de Trânsito,Esquadra de Trânsito,957,060520,Rua da Mortágua - s/n,3080-892,FIGUEIRA DA FOZ,Dias úteis: 9h00-12h30 / 14h00-16h00,233407560,figueiradafoz.coimbra@psp.pt,http://www.psp.pt,40.155392,-8.857706,237,Ministério da Administração Interna,2528,PSP
FIGUEIRA DA FOZ - Esquadra de Investigação Criminal,Esquadra de Investigação Criminal,958,060520,Rua da Mortágua - s/n,3080-892,FIGUEIRA DA FOZ,Dias úteis: 9h00-12h30 / 14h00-16h00,233407560,figueiradafoz.coimbra@psp.pt,http://www.psp.pt,40.155392,-8.857706,237,Ministério da Administração Interna,2528,PSP
FIGUEIRA DA FOZ - Esquadra de Intervenção e Fiscalização Policial,Esquadra de Intervenção e Fiscalização Policial,959,060520,Rua da Mortágua - s/n,3080-892,FIGUEIRA DA FOZ,Dias úteis: 9h00-12h30 / 14h00-16h00,233407560,figueiradafoz.coimbra@psp.pt,http://www.psp.pt,40.155392,-8.857706,237,Ministério da Administração Interna,2528,PSP
FIGUEIRA DA FOZ - Esquadra,Esquadra de Polícia,960,060520,Rua da Mortágua - s/n,3080-892,FIGUEIRA DA FOZ,Dias úteis: 9h00-12h30 / 14h00-16h00 - Atendimento Policial Permanente,233407560,figueiradafoz.coimbra@psp.pt,http://www.psp.pt,40.155392,-8.857706,237,Ministério da Administração Interna,2528,PSP
ÉVORA - Comando Distrital,Comando,961,070523,"Rua Francisco Soares Lusitano, s/n",7004-511,ÉVORA,Dias úteis: 9h00-12h30 / 14h00-16h00,266760450 - 962013633,cpevora@psp.pt,http://www.psp.pt,38.572981,-7.908107,237,Ministério da Administração Interna,2528,PSP
ÉVORA - Esquadra de Trânsito,Esquadra de Trânsito,962,070524,"Av. Arquitecto Torralva, nº 44",7000-470,ÉVORA,Dias úteis: 9h00-12h30 / 14h00-16h00,266760450,0,http://www.psp.pt,38.576404,-7.917457,237,Ministério da Administração Interna,2528,PSP
ÉVORA - Esquadra de Investigação Criminal,Esquadra de Investigação Criminal,963,070523,"Rua Francisco Soares Lusitano, s/n",7004-051,ÉVORA,Sem Horário de Atendimento,266760450,0,http://www.psp.pt,38.568561,-7.908803,237,Ministério da Administração Interna,2528,PSP
ÉVORA - Esquadra de Intervenção e Fiscalização Policial,Esquadra de Intervenção e Fiscalização Policial,964,070523,"Rua Francisco Soares Lusitano, s/n",7004-511,ÉVORA,Sem Horário de Atendimento,266760450 - 962013633,cpevora@psp.pt,http://www.psp.pt,38.572981,-7.908107,237,Ministério da Administração Interna,2528,PSP
ÉVORA - Esquadra,Esquadra de Polícia,965,070523,"Rua Francisco Soares Lusitano, s/n",7004-511,ÉVORA,Atendimento Policial Permanente,266760450,0,http://www.psp.pt,38.572947,-7.908108,237,Ministério da Administração Interna,2528,PSP
CRUZ DA PICADA - ÉVORA - Posto de Polícia,Posto de Polícia,966,070524,"Av. do Escurinho, Lote 43, r/c Esqº",7000-772,ÉVORA,Atendimento Policial Permanente,266760450,0,http://www.psp.pt,38.566896,-7.927623,237,Ministério da Administração Interna,2528,PSP
ESTREMOZ - Esquadra,Esquadra de Polícia,967,070414,"Rua 31 de Janeiro, s/n",7100-144,ESTREMOZ,Atendimento Policial Permanente,268338470,evresqetz@psp.pt,http://www.psp.pt,38.844611,-7.587208,237,Ministério da Administração Interna,2528,PSP
FARO - Comando Distrital,Comando,968,080508,"Rua da Polícia de Segurança Pública, n.º 32",8000-408,FARO,Sem Horário de Atendimento,289899899 - 289822022 - 961010164 - 962004367 - 961010158 - 962001688,cpfaro@psp.pt,http://www.psp.pt,37.01501,-7.927247,237,Ministério da Administração Interna,2528,PSP
FARO - Esquadra de Trânsito,Esquadra de Trânsito,969,080508,"Rua da Polícia de Segurança Pública, nº 32",8000-408,FARO,Dias úteis: 9h00-12h30 / 14h00-16h00 - Atendimento Policial Permanente,289899899,faretr@psp.pt,http://www.psp.pt,37.01501,-7.927247,237,Ministério da Administração Interna,2528,PSP
FARO - Esquadra de Investigação Criminal,Esquadra de Investigação Criminal,970,080508,"Rua da Polícia de Segurança Pública, nº 32",8000-408,FARO,Dias úteis: 9h00-12h30 / 14h00-16h00,289899899,fareic@rnsi.local,http://www.psp.pt,37.01501,-7.927247,237,Ministério da Administração Interna,2528,PSP
